,Date,Tweet Id,Content,Username,LikeCount,retweetCount,source
0,2023-02-15 20:45:23+00:00,1625959480533078016,What’s your favorite scary movie? Still Alive 🔪3.3.23 https://t.co/dmYPTqlAUj https://t.co/iCUZFGdcrx,ddlovato,21827,4871,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1,2022-07-14 20:57:26+00:00,1547686731964489728,"HOLY FVCK takes me back to my roots. It’s a body of work that’s unapologetically me, and I can’t wait to perform it on tour for you! 🖤

Signed CD’s available now

https://t.co/xBBx8UGaaT https://t.co/6OyFNEqAFT",ddlovato,11501,3111,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
2,2022-06-27 23:46:26+00:00,1541568670018568192,"Think we might be crashing  
Everyone’s laughing 
Time is just passing
Yet nothing lasts",ddlovato,13105,2646,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
3,2022-04-07 18:47:38+00:00,1512140055384510476,"You call me they, but I’m still daddy’s girl… https://t.co/N21jtSBrlV",ddlovato,29841,4032,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
4,2022-03-22 22:27:55+00:00,1506397286531706881,He said it’s too early to be this turned on…. https://t.co/3UKAEctxl3,ddlovato,52285,4933,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
5,2022-01-14 17:57:34+00:00,1482049263274057728,@MatthewKoma @WinnetkaBowling Let’s do it,ddlovato,3120,658,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
6,2021-11-16 01:02:28+00:00,1460412921490526211,My friend @itsjojosiwa is in the SEMI-FINALS of Dancing With The Stars! SHE NEEDS OUR HELP GETTING INTO THE FINALS! IT’S TIME TO VOTE FOR HER AND JENNA! Text JOJO to 21523 TEN TIMES to vote! TEAM J NATION!,ddlovato,7252,706,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
7,2021-10-15 00:30:30+00:00,1448808465376235521,"I spoke to #RicardoGonzalez this week on #4DwithDemiLovato about ETs, illusions, and why it’s so important to live fully. 🛸

Listen Now! 🎧 https://t.co/deSod8Sw0k https://t.co/bTzSV2RJYX",ddlovato,3097,428,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
8,2021-09-30 19:39:25+00:00,1443661780329410563,"What’s better than a standing ovation from ETs? I’ll wait… 👽

My new show #UnidentifiedwithDemiLovato is streaming NOW on @peacockTV! ✨ https://t.co/F08x8SiHkI",ddlovato,8567,1262,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
9,2021-09-17 23:09:05+00:00,1439003506363543552,"There’s only one me and only one you! 💁‍♀️ Had the lovely #HaileyBieber this week on #4DWithDemi. We spoke about individuality, genderless clothes, and being loved when you can’t see it for yourself. https://t.co/deSod8AV8M https://t.co/0sFBMPnIYj",ddlovato,5853,969,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
