,Date,Tweet Id,Content,Username,LikeCount,retweetCount,source
0,2023-04-02 20:22:54+00:00,1642623663009677314,@LNXmademestr8 💓soooooooo happy for u! happy bday luv!,LilNasX,173,3,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1,2023-04-02 13:55:49+00:00,1642526248680259584,@joeyguerra @HoustonChron 💓,LilNasX,13,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
2,2023-03-31 17:38:59+00:00,1641857635745161217,omg AM I DREAMING rights!,LilNasX,11642,576,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
3,2023-03-28 22:12:26+00:00,1640839288396079104,"the rumors are true, me and disney+ are dropping the hannah montero reboot",LilNasX,206475,9324,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
4,2023-03-28 17:35:41+00:00,1640769641630007297,what’s my BEST song,LilNasX,14412,225,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
5,2023-03-28 05:11:28+00:00,1640582354409517056,Lil Nas X Carpool Karaoke https://t.co/65DF8kG9UJ,LilNasX,2259,178,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
6,2023-03-28 02:46:54+00:00,1640545972668489730,@triptojupitr https://t.co/AwSgepk9oG,LilNasX,190,8,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
7,2023-03-28 02:19:34+00:00,1640539092764209152,@HOLLAND_vvv this eats,LilNasX,6467,271,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
8,2023-03-26 23:04:01+00:00,1640127496116109315,got stuck at the airport https://t.co/R81nwwYhub,LilNasX,93574,2054,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
9,2023-03-26 16:59:04+00:00,1640035650354257922,LMFAOO,LilNasX,83416,2014,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
10,2023-03-26 05:39:35+00:00,1639864654099800069,they are boyfriend and girlfriend https://t.co/t3RCD8igA4,LilNasX,90545,2716,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
