,Date,Tweet Id,Content,Username,LikeCount,retweetCount,source
0,2023-02-15 20:45:23+00:00,1625959480533078016,What’s your favorite scary movie? Still Alive 🔪3.3.23 https://t.co/dmYPTqlAUj https://t.co/iCUZFGdcrx,ddlovato,21834,4872,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1,2022-07-14 20:57:26+00:00,1547686731964489728,"HOLY FVCK takes me back to my roots. It’s a body of work that’s unapologetically me, and I can’t wait to perform it on tour for you! 🖤

Signed CD’s available now

https://t.co/xBBx8UGaaT https://t.co/6OyFNEqAFT",ddlovato,11526,3115,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
2,2022-06-27 23:46:26+00:00,1541568670018568192,"Think we might be crashing  
Everyone’s laughing 
Time is just passing
Yet nothing lasts",ddlovato,13125,2645,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
3,2022-04-07 18:47:38+00:00,1512140055384510476,"You call me they, but I’m still daddy’s girl… https://t.co/N21jtSBrlV",ddlovato,29899,4037,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
4,2022-03-22 22:27:55+00:00,1506397286531706881,He said it’s too early to be this turned on…. https://t.co/3UKAEctxl3,ddlovato,52376,4940,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
5,2022-01-14 17:57:34+00:00,1482049263274057728,@MatthewKoma @WinnetkaBowling Let’s do it,ddlovato,3126,658,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
6,2021-11-16 01:02:28+00:00,1460412921490526211,My friend @itsjojosiwa is in the SEMI-FINALS of Dancing With The Stars! SHE NEEDS OUR HELP GETTING INTO THE FINALS! IT’S TIME TO VOTE FOR HER AND JENNA! Text JOJO to 21523 TEN TIMES to vote! TEAM J NATION!,ddlovato,7261,707,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
7,2021-10-15 00:30:30+00:00,1448808465376235521,"I spoke to #RicardoGonzalez this week on #4DwithDemiLovato about ETs, illusions, and why it’s so important to live fully. 🛸

Listen Now! 🎧 https://t.co/deSod8Sw0k https://t.co/bTzSV2RJYX",ddlovato,3106,430,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
8,2021-09-30 19:39:25+00:00,1443661780329410563,"What’s better than a standing ovation from ETs? I’ll wait… 👽

My new show #UnidentifiedwithDemiLovato is streaming NOW on @peacockTV! ✨ https://t.co/F08x8SiHkI",ddlovato,8577,1264,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
9,2021-09-17 23:09:05+00:00,1439003506363543552,"There’s only one me and only one you! 💁‍♀️ Had the lovely #HaileyBieber this week on #4DWithDemi. We spoke about individuality, genderless clothes, and being loved when you can’t see it for yourself. https://t.co/deSod8AV8M https://t.co/0sFBMPnIYj",ddlovato,5858,969,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
10,2021-08-26 16:05:03+00:00,1430924261154336772,"We’re about to take off on a journey to explore the unknown and it’s going to be a wild ride. Join me, my sister, and my bestie on #UnidentifiedwithDemiLovato, streaming September 30 on @PeacockTV!  🛸🛸 https://t.co/5uNWalmHkR",ddlovato,10022,1311,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
11,2021-08-18 21:22:34+00:00,1428105063449481218,"I’m so excited for you all to hear my conversation with @bretmanrock! This week we take part in a deep conversation about spirituality, non-binary identity, and their grandmother’s influence. https://t.co/bb8hOzKOW7",ddlovato,13504,1209,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
12,2021-07-21 19:06:58+00:00,1417924076509843458,"Today's new episode of #4DwithDemi features @ChazBono 💞 I loved getting to know you and learning about your journey, Chaz. Thank you for coming on my show! Listen now wherever you get to your podcasts! 🛸🎧 https://t.co/deSod8AV8M https://t.co/xxnT3R5Nnr",ddlovato,3405,455,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
13,2021-07-20 21:12:40+00:00,1417593321434742786,"I don’t always feel good in my skin, so when I do, AND I feel sexy enough to post - I do just that! It’s important to celebrate the little wins. Yay for this random burst of body confidence and yay for awkward hilarious sex 😂🖤",ddlovato,12567,797,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
14,2021-07-13 16:18:07+00:00,1414982481913151490,"I felt the need to post this because I often find that the change in pronouns can be confusing for some, and difficult to remember for others. It’s all about your intention. It’s important to me that you try, but if you make a mistake, it’s okay 😊🙏🏼💞 https://t.co/nd37qvMGqk",ddlovato,44896,4612,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
15,2021-06-28 22:18:42+00:00,1409637408790827015,To my BFF and soulmate @irobotyoujane: I love you 4ever. Let’s have another vogue session soon??? 💗💗 Thank you for being my cohost for #Pride2021 🥰🙏🏼🌈 https://t.co/Q6eliA5tG6,ddlovato,7308,726,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
16,2021-06-26 03:20:28+00:00,1408626187283304452,Thank you @noahcyrus for closing out the night w me for @YouTube’s pride 2021 celebration 🎊🙏🏼🙌🏼 I’m so happy we finally got to sing our song together 🥺🥺💞#Easy https://t.co/jQEVfulq75,ddlovato,17243,1979,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
17,2021-06-21 23:46:14+00:00,1407122721503252482,"“No is a complete sentence” - @Janefonda 💞

Listen to Jane’s episode of #4DwithDemi here 🛸 https://t.co/deSod8Sw0k https://t.co/IcU67Ciqly",ddlovato,4351,553,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
18,2021-06-10 18:28:14+00:00,1403056427107823623,Who’s ready for a Pride party?! 🖤🤎❤️🧡💛💚💙💜 Join me as I host the @YouTube Pride 2021 livestream on June 25! #Pride2021 https://t.co/xt4ZxLZvdL https://t.co/9fTvtjVtuR,ddlovato,6687,983,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
19,2021-06-03 19:54:26+00:00,1400541407299850242,"Proud to be a part of @REALPRIDELIVE's #StonewallDay curated by @adamlambert for his @FSFoundation_ ! 

Tune into @WeAre_OUTLOUD: Raising Voices LIVE concert on Sunday June 6th 💖💖💖 https://t.co/Z7tvt5WquX https://t.co/sVWjgm3P5x",ddlovato,3796,640,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
20,2021-06-03 18:41:12+00:00,1400522974613041154,"What’s your favorite part from the new episode of #4DwithDemi?? 💞

If you haven’t listened yet, check out  episode 3 with @DrewBarrymore: https://t.co/deSod8Sw0k https://t.co/RyHAxLUOrJ",ddlovato,4025,504,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
21,2021-06-02 01:25:52+00:00,1399900036520026118,IT’S PRIDE EVERY DAMN DAY Y’ALL! ❤️🧡💛💚💙💜💗🖤🤍 https://t.co/ro3ZmUGzZa,ddlovato,35204,4001,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
22,2021-05-27 19:11:26+00:00,1397993870445584384,"“It’s not about where you land, it’s where you fly” 🦋💓 Thank you @GlennonDoyle for coming on #4DwithDemi this week!! Next time you take a buzzfeed quiz, mind sending me the link and we can compare results?? 😂💗 

Listen/Watch here: https://t.co/deSod8Sw0k https://t.co/XuFhfvicMr",ddlovato,4686,685,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
23,2021-05-26 14:13:31+00:00,1397556507042992134,"My new episode of #4DwithDemi is now available wherever you listen to your podcasts! This week’s special guest is @GlennonDoyle 💞☺️ We had such a beautiful, honest, &amp; real conversation... I cant wait for you to hear it 🎧🛸 

Listen now: https://t.co/deSod8Sw0k https://t.co/HdXkgTOs3b",ddlovato,4412,655,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
24,2021-05-21 22:08:16+00:00,1395864044402221057,"I’m speaking with Glenn Close &amp; @andersoncooper about mental health this Sunday! 💞☮️ Proceeds support @BC2M’s high school program. The event starts at 5pm pst / 8pm est

Tickets available here: https://t.co/geOxTp3ORX https://t.co/NgB8a5x3xz",ddlovato,3866,532,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
25,2021-05-17 22:51:05+00:00,1394425269042040834,"Being in a room where people speak your language can change the course of your recovery journey. 

That’s why I am so happy to continue partnering with @AllianceforEDA during Mental Health Awareness Month 💙",ddlovato,2642,349,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
26,2021-05-10 21:57:44+00:00,1391875127885791233,"As I continue to join @AllianceforEDA to ensure eating disorders are part of the conversation this Mental Health Awareness Month, here’s a reminder that it’s okay to ask for help! We are not meant to do this alone! Please call 866.662.1235 or visit https://t.co/I6XoBTTEmX 💙 https://t.co/8pN7BwbZz5",ddlovato,4855,908,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
27,2021-05-10 18:50:40+00:00,1391828047825756162,Who’s voted?? 👀💖 Thank you #MTVAwards !!!,ddlovato,6510,1085,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
28,2021-05-05 21:25:10+00:00,1390054991973347329,There are periods of time where I forget about my food struggles and other times it’s all I think about. Still. But that is what ED recovery looks like for some people and I still have hope that someday I won’t think about it anymore.,ddlovato,6277,684,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
29,2021-05-04 00:29:30+00:00,1389376603466080257,"Getting the vaccine came down to one thought process for me, I simply would rather risk potential side effects of a vaccine than risk lives by catching or spreading covid. It’s normal to be cautious when something new comes along. https://t.co/aQFgMVmimr",ddlovato,26257,3149,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
30,2021-04-07 15:35:57+00:00,1379820247402770440,Who’s going to @Target today to find #DWTDTAOSO? Tweet me your videos/photos 🧡💿🥰,ddlovato,9619,1093,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
31,2021-04-06 00:45:26+00:00,1379233752740634624,15 minutes!!! 😝🎉 Who’s watching?,ddlovato,9601,1131,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
32,2021-04-02 04:10:23+00:00,1377835779393691650,"#DancingWithTheDevil music video is out now 🎞🖤🤍🎥 Thank you for listening, and thank you for hearing me. If you or someone you know is in need of support, please remember it’s ok to ask for help.

https://t.co/K8ebn4qinL https://t.co/zRzeF000Dr",ddlovato,27828,8764,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
33,2021-04-02 04:03:21+00:00,1377834011754569729,"#DWTDTAOSO the album is here!! This has been a journey years in the making… I can’t believe it’s here. Please listen to the tracks in order, top to bottom, for me. I love you all 💞🦋🌈

https://t.co/nfMs1VXHjH https://t.co/qcLIMpV0Fp",ddlovato,60991,16893,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
34,2021-04-02 02:45:22+00:00,1377814383045214209,"Who's hanging out with me during #RELEASEDonYT tonight?! I'll be talking about new songs from #DWTDTAOSO, showing an exclusive live performance &amp; premiering the official video for #DancingWiththeDevil!!

Tune in at 8:45pm PT/11:45pm ET on @YouTube 🦋 https://t.co/YznR6KE1Qf",ddlovato,10113,2087,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
