,Date,Tweet Id,Content,Username,LikeCount,retweetCount,source
0,2021-06-30 23:33:27+00:00,1410380993932894208,https://t.co/rI4I5BUjBH,ravensymone,130,29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1,2021-06-13 18:48:10+00:00,1404148607041695749,@KyleMassey @RondellSheridan Hahah,ravensymone,97,12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
2,2021-05-03 12:30:25+00:00,1389195641931194375,@nkjemisin How can we sit down and have a talk. I feel like good things would happen...,ravensymone,10,13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
3,2020-07-17 05:01:21+00:00,1283990148196085760,https://t.co/OM0sjuOoy2,ravensymone,268,77,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
4,2020-05-28 00:51:23+00:00,1265807849902370816,"This requires more than tweets, indictments, this requires CHANGE, MENTAL HEALTH EVALUATIONS, NEW THOUGHT PROCESSES, and MORE FILMING!!! . My heart goes out to the family.",ravensymone,989,227,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
5,2020-05-26 22:03:24+00:00,1265403185339879425,@melodyMcooper WTF. Smh.,ravensymone,78,41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
6,2020-05-21 21:41:29+00:00,1263585731139694610,Shout out to @Kandi #JesseMcCartney &amp; @smoss and EVERYONE ELSE for Entertaining us!!!!!!  @Kandi Congratulations on winning the Masked Singer!!! 🦹🏽‍♀️,ravensymone,613,93,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
7,2020-05-21 04:06:18+00:00,1263320185919832065,@FOXTV ULTIMATE TAG?????!?!?!??!?!!?!  Awesome! @FOXLaborofLove tomorrow see y’all on the couch tomorrow #celebritywatchparty,ravensymone,20,7,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
8,2020-05-21 04:04:07+00:00,1263319638709960704,Congratulations to @Kandi for the win tonight!!!!!!!,ravensymone,279,46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
9,2020-05-21 03:46:42+00:00,1263315252944355328,I’m watching the @MaskedSingerFOX finale!!!! What’s up @smoss,ravensymone,385,58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
10,2020-05-10 15:54:28+00:00,1259512134787952640,@DzemailO Oh GA,ravensymone,264,9,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
11,2020-04-16 08:12:40+00:00,1250698612838789126,@torylanez Next time let’s 🍾🍾 durin this quarantine time!! Xoxoxo,ravensymone,206,18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
12,2020-04-10 18:40:30+00:00,1248682284753891329,@XXL Mine #infrasounds #bu on Spotify,ravensymone,37,30,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
13,2020-04-10 04:33:03+00:00,1248469015678181376,https://t.co/X5ih047IiD,ravensymone,185,64,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
14,2020-04-10 04:31:54+00:00,1248468726120198144,https://t.co/X5ih047IiD,ravensymone,166,57,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
15,2020-04-08 22:34:28+00:00,1248016389010423808,@POTUS The press conference was easier to watch. Thank you bro.,ravensymone,10,8,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
16,2020-04-03 19:05:01+00:00,1246151738307923968,@HotNewHipHop Thanks for the shout out!!! Seriously!! https://t.co/fsqgNsls5l something new,ravensymone,21,12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
17,2020-04-03 19:01:50+00:00,1246150939083337728,@WORLDSTAR @HipHopDX @MTV @SoundCloud @Vevo @LilKim @POPSUGAR @BuzzFeed https://t.co/fsqgNsls5l. Just wanted to share with a few some new music! Check the link. #NewMusicFriday #hiphop #love #coronavirus #2020,ravensymone,30,15,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
18,2020-04-02 23:30:38+00:00,1245856194658328576,@realDonaldTrump You should stand between the screen while others speak on the stage. It helps with distancing...,ravensymone,18,8,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
19,2020-03-29 04:27:08+00:00,1244118873990807552,@luandb Bonnie nuit!!,ravensymone,6,2,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
20,2020-03-27 23:18:40+00:00,1243678857166635008,@QuaniPooh Try iTunes on Monday. It’s on YouTube now,ravensymone,6,5,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
21,2020-03-27 23:18:10+00:00,1243678729764659200,@israfafer Of course the more the merrier,ravensymone,15,6,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
22,2020-03-27 19:53:17+00:00,1243627168359309312,@israfafer Ok I’m going live on pop sugar at 1:30 I’ll be live after. We gonna do this,ravensymone,6,1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
23,2020-03-27 18:11:53+00:00,1243601650532507649,@israfafer Under #33000 #raven #infrasounds #spacetruck,ravensymone,20,29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
24,2020-03-27 18:11:19+00:00,1243601507515166721,@israfafer Spotify,ravensymone,6,5,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
25,2020-03-27 18:05:03+00:00,1243599933996843008,Check out #NewMusicFriday.   https://t.co/bNqF4DdijZ https://t.co/ETvKKhrYXF,ravensymone,155,40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
26,2020-03-27 18:03:37+00:00,1243599571822841861,https://t.co/bNqF4DdijZ,ravensymone,66,22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
27,2020-03-27 18:03:30+00:00,1243599540743102464,https://t.co/vzdVO7BTiA,ravensymone,70,16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
28,2020-03-17 16:14:58+00:00,1239948349622472705,@SilentDPro1992 Smh 🤦‍♀️,ravensymone,5,1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
29,2020-03-17 15:44:13+00:00,1239940612838707205,"Please!  There are only 14 more days for this recommended self quarantine. Health is more important for the world, than that #bag right now",ravensymone,232,41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
30,2020-03-17 15:42:08+00:00,1239940085660831746,#Telehealth,ravensymone,55,12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
31,2020-03-17 15:40:19+00:00,1239939629136003072,Here he talks again! @WhiteHouse,ravensymone,63,16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
32,2020-03-17 14:24:20+00:00,1239920507408932866,https://t.co/J9cq1rwWtF,ravensymone,47,12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
33,2020-03-06 21:26:16+00:00,1236040424512311296,@msdebbieallen Hahah!,ravensymone,25,7,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
